Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Median Gross Rents,Year
12920,2720.0,43.1,50150.0,22317.0,541.0,19.889705882352942,685.0,2015
12921,2394.0,45.6,63750.0,31089.0,137.0,5.722639933166249,852.0,2015
12922,37.0,56.9,53125.0,28581.0,4.0,10.81081081081081,-666666666.0,2015
12923,637.0,42.3,40375.0,21225.0,114.0,17.896389324960754,625.0,2015
12924,135.0,33.0,39479.0,16321.0,18.0,13.333333333333334,-666666666.0,2015
12926,2015.0,44.2,50500.0,25920.0,251.0,12.456575682382134,581.0,2015
12927,232.0,61.0,43750.0,28243.0,34.0,14.655172413793103,-666666666.0,2015
12928,1882.0,44.9,44669.0,22748.0,177.0,9.404888416578109,700.0,2015
12929,3864.0,38.3,45795.0,5331.0,139.0,3.5973084886128364,643.0,2015
12930,815.0,37.9,45357.0,21700.0,154.0,18.895705521472394,767.0,2015
12932,1374.0,51.4,46875.0,24986.0,189.0,13.755458515283843,630.0,2015
12933,12.0,23.5,-666666666.0,,0.0,0.0,-666666666.0,2015
12934,1077.0,37.1,38393.0,19686.0,307.0,28.505106778087278,729.0,2015
12935,1571.0,43.5,48514.0,28140.0,178.0,11.330362826225334,746.0,2015
12936,543.0,45.6,60147.0,30183.0,65.0,11.970534069981584,,2015
12937,1655.0,42.0,40719.0,21208.0,322.0,19.45619335347432,755.0,2015
12939,219.0,37.6,54688.0,30292.0,17.0,7.762557077625571,1396.0,2015
12941,1487.0,45.0,61250.0,26352.0,126.0,8.47343644922663,1008.0,2015
12942,839.0,51.6,47050.0,31955.0,105.0,12.514898688915375,,2015
12943,188.0,50.2,51591.0,26731.0,0.0,0.0,1653.0,2015
12944,4305.0,46.1,47197.0,25618.0,631.0,14.657375145180023,720.0,2015
12945,467.0,62.4,71250.0,37117.0,0.0,0.0,-666666666.0,2015
12946,5287.0,42.9,55917.0,32726.0,530.0,10.02458861358048,792.0,2015
12950,987.0,44.2,46667.0,19789.0,95.0,9.625126646403242,742.0,2015
12952,576.0,37.5,42813.0,19946.0,190.0,32.986111111111114,763.0,2015
12953,15664.0,38.5,48684.0,18730.0,2355.0,15.03447395301328,688.0,2015
12955,469.0,44.4,64018.0,23838.0,76.0,16.204690831556505,-666666666.0,2015
12956,1340.0,38.9,65125.0,23224.0,123.0,9.17910447761194,909.0,2015
12957,1898.0,41.8,34783.0,21080.0,466.0,24.552160168598526,744.0,2015
12958,1944.0,38.3,40456.0,20986.0,419.0,21.55349794238683,485.0,2015
12959,1370.0,48.4,44286.0,26842.0,170.0,12.408759124087592,-666666666.0,2015
12960,1554.0,37.8,75781.0,24654.0,76.0,4.890604890604891,1089.0,2015
12962,5656.0,42.6,68852.0,34235.0,530.0,9.370579915134371,877.0,2015
12965,500.0,44.9,38542.0,19406.0,76.0,15.2,629.0,2015
12966,3189.0,37.3,42200.0,19641.0,884.0,27.720288491690184,797.0,2015
12967,1191.0,38.3,44145.0,16948.0,302.0,25.356842989084804,494.0,2015
12969,421.0,45.6,40250.0,23385.0,85.0,20.19002375296912,-666666666.0,2015
12970,963.0,20.9,45000.0,12364.0,36.0,3.7383177570093458,1136.0,2015
12972,6112.0,43.8,66141.0,32704.0,452.0,7.395287958115183,762.0,2015
12973,189.0,51.6,60000.0,23107.0,18.0,9.523809523809524,-666666666.0,2015
12974,1206.0,45.0,40500.0,24565.0,178.0,14.759535655058043,710.0,2015
12975,355.0,43.3,70509.0,36026.0,16.0,4.507042253521127,802.0,2015
12976,179.0,53.0,61250.0,39726.0,4.0,2.2346368715083798,-666666666.0,2015
12977,1720.0,35.8,-666666666.0,6306.0,0.0,0.0,-666666666.0,2015
12979,2241.0,44.3,64417.0,34533.0,231.0,10.307898259705489,598.0,2015
12980,1358.0,47.5,40774.0,23109.0,291.0,21.428571428571427,654.0,2015
12981,2376.0,39.8,54886.0,28467.0,264.0,11.11111111111111,720.0,2015
12983,7702.0,47.0,50833.0,29372.0,1062.0,13.788626330823163,692.0,2015
12985,1343.0,38.2,39722.0,23422.0,266.0,19.806403574087863,1140.0,2015
12986,6181.0,39.5,50958.0,26099.0,771.0,12.473709755702961,611.0,2015
12987,259.0,56.3,33942.0,28363.0,46.0,17.76061776061776,-666666666.0,2015
12989,923.0,50.2,62656.0,31172.0,82.0,8.884073672806068,700.0,2015
12992,5103.0,40.0,50403.0,25460.0,1052.0,20.615324319028023,744.0,2015
12993,1527.0,50.5,43704.0,26794.0,174.0,11.394891944990176,892.0,2015
12996,1947.0,53.5,44643.0,24720.0,218.0,11.196712891628145,759.0,2015
12997,1331.0,43.0,65850.0,28586.0,108.0,8.11419984973704,888.0,2015
12998,345.0,34.6,27684.0,13712.0,68.0,19.71014492753623,871.0,2015
13020,132.0,44.7,45750.0,17452.0,41.0,31.060606060606062,-666666666.0,2015
13021,39135.0,42.4,47486.0,26780.0,4980.0,12.725182062092756,667.0,2015
13024,1644.0,38.1,-666666666.0,186.0,0.0,0.0,-666666666.0,2015
13026,1831.0,35.6,65750.0,26756.0,157.0,8.574549426542873,711.0,2015
13027,31295.0,45.2,69368.0,34629.0,2081.0,6.649624540661447,819.0,2015
13028,1426.0,47.1,40000.0,27951.0,137.0,9.607293127629733,932.0,2015
13029,7385.0,37.9,68729.0,31624.0,897.0,12.146242383209207,987.0,2015
13030,4069.0,44.5,60871.0,28920.0,480.0,11.796510199066109,707.0,2015
13031,15681.0,42.8,70259.0,33773.0,1014.0,6.4664243351827055,867.0,2015
