Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Median Gross Rents,Year
08518,5217.0,41.5,74286.0,33963.0,170.0,3.258577726662833,1095.0,2013
08520,27468.0,37.4,90293.0,37175.0,1834.0,6.6768603465851175,1148.0,2013
08525,4782.0,47.1,118656.0,59848.0,43.0,0.8992053534086156,1563.0,2013
08527,54867.0,42.2,88588.0,37021.0,2191.0,3.9932928718537553,1415.0,2013
08528,245.0,48.5,58676.0,49117.0,0.0,0.0,-666666666.0,2013
08530,7568.0,43.8,87396.0,46371.0,249.0,3.290169133192389,1264.0,2013
08533,6789.0,41.0,85301.0,30981.0,459.0,6.760936809544852,1051.0,2013
08534,13312.0,44.1,144250.0,66609.0,339.0,2.546574519230769,1091.0,2013
08535,5657.0,43.5,147853.0,59097.0,127.0,2.245006187024925,-666666666.0,2013
08536,19944.0,34.0,90089.0,46406.0,673.0,3.3744484556758927,1237.0,2013
08540,47316.0,37.5,125439.0,61810.0,1969.0,4.161383041677234,1416.0,2013
08542,4756.0,26.3,71393.0,37662.0,351.0,7.380151387720773,1738.0,2013
08550,19357.0,43.4,169661.0,70463.0,983.0,5.078266260267603,1533.0,2013
08551,5212.0,43.4,121154.0,54299.0,147.0,2.8204144282425174,1620.0,2013
08553,543.0,51.6,90972.0,57618.0,20.0,3.6832412523020257,1169.0,2013
08554,4023.0,39.6,71750.0,30004.0,169.0,4.200845140442456,900.0,2013
08555,812.0,40.3,78083.0,30321.0,70.0,8.620689655172415,1463.0,2013
08558,6495.0,44.2,154236.0,68556.0,187.0,2.8791377983063895,1875.0,2013
08559,5226.0,48.4,108871.0,56242.0,93.0,1.7795637198622274,1505.0,2013
08560,3249.0,47.0,113333.0,59497.0,175.0,5.38627269929209,-666666666.0,2013
08561,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,,-666666666.0,2013
08562,5713.0,34.9,65036.0,26970.0,485.0,8.489410117276387,925.0,2013
08608,921.0,37.6,14861.0,13521.0,321.0,34.85342019543974,889.0,2013
08609,14884.0,33.0,27073.0,15337.0,5132.0,34.47997850040312,958.0,2013
08610,29222.0,38.5,61016.0,28416.0,3005.0,10.28334816234344,1070.0,2013
08611,26477.0,32.3,38672.0,16727.0,6253.0,23.616723949087888,1109.0,2013
08618,38057.0,32.5,41757.0,21134.0,7953.0,20.897600966970597,867.0,2013
08619,23175.0,42.3,72330.0,34252.0,1017.0,4.388349514563107,1111.0,2013
08620,12638.0,43.2,88438.0,33407.0,359.0,2.8406393416679854,1057.0,2013
08628,9579.0,42.7,80449.0,39103.0,581.0,6.06535128927863,1227.0,2013
08629,12450.0,32.6,54956.0,21054.0,1961.0,15.751004016064257,1230.0,2013
08638,23466.0,38.0,58371.0,24937.0,4280.0,18.239154521435267,1044.0,2013
08640,7381.0,35.1,68108.0,13835.0,232.0,3.143205527706273,1941.0,2013
08641,4134.0,22.7,49980.0,16262.0,184.0,4.450895016932753,1799.0,2013
08648,32300.0,37.2,86451.0,38044.0,1761.0,5.452012383900929,1395.0,2013
08690,18766.0,46.5,96192.0,40979.0,229.0,1.2202920174784184,1196.0,2013
08691,15431.0,41.6,109293.0,51883.0,548.0,3.551292852051066,1422.0,2013
08701,92586.0,23.2,40240.0,14769.0,27363.0,29.554144255070963,1376.0,2013
08720,1031.0,28.1,104310.0,43403.0,0.0,0.0,-666666666.0,2013
08721,20789.0,41.4,78847.0,33094.0,944.0,4.540862956371158,1257.0,2013
08722,11105.0,35.0,80386.0,30816.0,720.0,6.483565961278703,1539.0,2013
08723,31769.0,43.1,66233.0,33114.0,2000.0,6.295445245364978,1129.0,2013
08724,42866.0,43.7,69797.0,33568.0,2318.0,5.407549106517986,1382.0,2013
08730,4782.0,46.8,111875.0,52622.0,113.0,2.3630280217482227,1681.0,2013
08731,19868.0,42.6,64357.0,30511.0,1491.0,7.504529897322327,1425.0,2013
08732,1553.0,49.8,74375.0,39906.0,132.0,8.49967804249839,1333.0,2013
08733,2787.0,33.0,60556.0,24717.0,256.0,9.185504126300682,1554.0,2013
08734,7907.0,43.3,86357.0,36882.0,332.0,4.198811179967118,1262.0,2013
08735,3283.0,61.7,63200.0,44956.0,284.0,8.650624428876029,1122.0,2013
08736,12372.0,48.2,94250.0,55065.0,662.0,5.350792111218881,1282.0,2013
08738,964.0,63.5,123750.0,92818.0,35.0,3.6307053941908713,1390.0,2013
08740,1961.0,41.8,62857.0,29916.0,244.0,12.44263131055584,1276.0,2013
08741,2591.0,40.3,86146.0,34881.0,86.0,3.31918178309533,1653.0,2013
08742,24377.0,43.8,77700.0,39316.0,1636.0,6.711244205603643,1490.0,2013
08750,3596.0,52.1,103875.0,65829.0,69.0,1.9187986651835374,1639.0,2013
08751,4248.0,49.8,32733.0,24775.0,659.0,15.513182674199623,1086.0,2013
08752,1897.0,62.7,59028.0,41314.0,92.0,4.849762783342119,1140.0,2013
08753,63891.0,40.3,76202.0,34756.0,4238.0,6.633172121269037,1296.0,2013
08755,25737.0,45.7,68109.0,36202.0,1250.0,4.8568209192990635,1246.0,2013
08757,33041.0,64.3,36595.0,25393.0,3227.0,9.766653551647952,1264.0,2013
08758,7512.0,53.6,70546.0,33778.0,507.0,6.7492012779552715,1719.0,2013
08759,33033.0,69.0,35984.0,28401.0,2402.0,7.271516362425453,997.0,2013
08801,8662.0,35.9,114050.0,45052.0,172.0,1.9856845993996768,1402.0,2013
08802,3603.0,43.3,110884.0,49471.0,167.0,4.635026366916459,1148.0,2013
08804,2679.0,42.2,103190.0,45405.0,59.0,2.202314296379246,1313.0,2013
08805,12340.0,35.7,67040.0,31531.0,949.0,7.690437601296597,1158.0,2013
08807,38241.0,41.4,112474.0,46495.0,1540.0,4.027091341753615,1660.0,2013
08808,52.0,40.3,54167.0,29587.0,4.0,7.6923076923076925,-666666666.0,2013
08809,6471.0,41.0,95201.0,38696.0,244.0,3.770669139236594,1325.0,2013
08810,9163.0,37.9,108283.0,40927.0,93.0,1.0149514351195024,1660.0,2013
08812,14330.0,40.1,94562.0,41983.0,653.0,4.556873691556176,1357.0,2013
08816,46550.0,42.2,96067.0,41839.0,2223.0,4.775510204081633,1305.0,2013
08817,44646.0,35.5,85152.0,33677.0,3276.0,7.337723424270932,1418.0,2013
08820,39878.0,41.0,112073.0,46672.0,1690.0,4.237925673303576,1342.0,2013
08821,289.0,43.5,113250.0,44576.0,37.0,12.802768166089965,-666666666.0,2013
08822,30430.0,43.7,101922.0,47722.0,1762.0,5.790338481761419,1294.0,2013
08823,9096.0,35.7,93903.0,45929.0,273.0,3.0013192612137205,1801.0,2013
08824,12175.0,40.0,117863.0,43935.0,422.0,3.46611909650924,1216.0,2013
08825,4528.0,43.9,94079.0,39574.0,238.0,5.256183745583039,1188.0,2013
08826,5771.0,45.9,97452.0,45198.0,275.0,4.765205337029977,1248.0,2013
08827,4185.0,48.8,98400.0,42877.0,308.0,7.359617682198327,1059.0,2013
08828,2360.0,40.0,78958.0,34618.0,112.0,4.745762711864407,1662.0,2013
08829,3694.0,40.5,95282.0,42726.0,24.0,0.6497022198159177,1357.0,2013
08830,18559.0,39.3,83581.0,33236.0,1228.0,6.616735815507301,1493.0,2013
08831,46818.0,50.7,67676.0,42007.0,2355.0,5.030116621812123,1265.0,2013
08832,2580.0,30.2,43900.0,21547.0,713.0,27.635658914728683,1341.0,2013
08833,9039.0,47.2,135259.0,75622.0,239.0,2.64409779842903,1341.0,2013
08835,10400.0,41.3,62583.0,29298.0,723.0,6.951923076923077,1251.0,2013
08836,3767.0,46.3,135547.0,63833.0,101.0,2.6811786567560394,-666666666.0,2013
08837,16030.0,38.2,74589.0,35025.0,1085.0,6.7685589519650655,1190.0,2013
08840,16535.0,41.7,102196.0,46958.0,560.0,3.3867553674024795,1490.0,2013
08844,38907.0,39.8,112923.0,46019.0,1462.0,3.757678566838872,1353.0,2013
08846,13703.0,41.6,80833.0,33458.0,257.0,1.87550171495293,1244.0,2013
08848,8371.0,46.3,102852.0,44983.0,157.0,1.8755226376776968,1203.0,2013
08850,8274.0,42.6,97120.0,41082.0,473.0,5.7167029248247525,1318.0,2013
08852,17233.0,38.1,102950.0,42303.0,570.0,3.3076074972436604,1424.0,2013
08853,5542.0,42.9,122500.0,49686.0,74.0,1.335258029592205,1199.0,2013
08854,56874.0,33.2,91164.0,32262.0,2827.0,4.970636846362134,1360.0,2013
08857,40271.0,40.5,92725.0,38319.0,1237.0,3.0716893049589036,1127.0,2013
08858,170.0,66.8,79444.0,70244.0,0.0,0.0,-666666666.0,2013
08859,21594.0,38.9,79835.0,35353.0,1312.0,6.075761785681208,1101.0,2013
08861,53415.0,33.0,45601.0,19501.0,12427.0,23.265000468033325,1142.0,2013
08863,12342.0,38.8,74836.0,31089.0,963.0,7.802625182304327,1182.0,2013
08865,29824.0,40.9,55599.0,27067.0,3652.0,12.245171673819742,902.0,2013
08867,5436.0,45.5,114174.0,49652.0,62.0,1.1405445180279616,1208.0,2013
08869,7058.0,37.8,76250.0,35079.0,737.0,10.44205157268348,1296.0,2013
08872,20041.0,37.7,72956.0,32666.0,1276.0,6.366947757097949,1148.0,2013
08873,51048.0,40.0,85148.0,37985.0,3307.0,6.47821658047328,1339.0,2013
08876,22268.0,39.8,89242.0,41896.0,1019.0,4.57607328902461,1201.0,2013
08879,22974.0,40.9,72508.0,34654.0,1300.0,5.658570558022112,1108.0,2013
08880,4584.0,35.9,71607.0,31046.0,369.0,8.049738219895287,1352.0,2013
08882,16079.0,38.6,66327.0,27054.0,1683.0,10.467068847565146,1132.0,2013
08884,8309.0,41.9,76681.0,33593.0,283.0,3.405945360452521,740.0,2013
08886,7071.0,40.9,109970.0,42475.0,212.0,2.998161504737661,1261.0,2013
